1684880123	0	1684880124
1684880124	1	1684880128
1684880128	2	1684880133
1684880133	3	1684880139
1684880139	4	1684880144
1684880144	5	1684880149
1684880149	6	1684880153
1684880153	7	1684880158
1684880158	8	1684880163
1684880163	9	1684880169
1684880169	10	1684880174
1684880174	11	1684880179
1684880179	12	1684880184
1684880184	13	1684880189
1684880189	14	1684880194
1684880194	15	1684880199
1684880199	16	1684880204
1684880204	17	1684880209
1684880209	18	1684880214
1684880214	19	1684880219
1684880219	20	1684880224
1684880224	21	1684880229
1684880229	22	1684880234
1684880234	23	1684880239
1684880239	24	1684880244
1684880244	25	1684880249
1684880249	26	1684880254
1684880254	27	1684880259
1684880259	28	1684880264
1684880264	29	1684880269
1684880269	30	1684883989
1684883989	6	1684883990
1684883990	5	1684883992
1684883992	4	1684883993
1684883993	3	1684883997
1684883997	1	1684884003
