125 1684866312 0,200000 -1,000000 0,200000 0,200000 0,024000
125 1684866311 0,200000 -1,000000 0,200000 0,200000 0,024000
125 1684866310 0,200000 -1,000000 0,200000 0,200000 0,024000
125 1684866309 0,200000 -1,000000 0,200000 0,200000 0,024000
125 1684866308 0,200000 -1,000000 0,200000 0,200000 0,024000
130 1684866312 0,200000 -1,000000 0,200000 0,200000 0,024000
130 1684866311 0,200000 -1,000000 0,200000 0,200000 0,024000
130 1684866310 0,200000 -1,000000 0,200000 0,200000 0,024000
130 1684866309 0,200000 -1,000000 0,200000 0,200000 0,024000
130 1684866308 0,200000 -1,000000 0,200000 0,200000 0,024000
128 1684866312 0,200000 -1,000000 0,200000 0,200000 0,024000
128 1684866311 0,200000 -1,000000 0,200000 0,200000 0,024000
128 1684866310 0,200000 -1,000000 0,200000 0,200000 0,024000
128 1684866309 0,200000 -1,000000 0,200000 0,200000 0,024000
128 1684866308 0,200000 -1,000000 0,200000 0,200000 0,024000
125 1684866308 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866309 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866310 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866311 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866312 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866308 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866309 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866310 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866311 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866312 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866308 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866309 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866310 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866311 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866312 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866598 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866599 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866600 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866601 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866602 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866598 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866599 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866600 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866601 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866602 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866598 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866599 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866600 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866601 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866602 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866863 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866864 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866865 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866866 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684866867 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866863 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866864 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866865 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866866 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684866867 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866863 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866864 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866865 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866866 0,200000 -1,000000 -101,000000 0,000000 0,000000
130 1684866867 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684867443 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684867444 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684867445 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684867446 0,200000 -1,000000 -101,000000 0,000000 0,000000
125 1684867447 0,200000 -1,000000 -101,000000 0,000000 0,000000
128 1684867443 0,200000 -1,000000 -101,000000 0,000000 0,000000
