65 1684869769 3,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869770 3,000000 -1,000000 -101,000000 0,000000 0,000000
68 1684869769 0,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869770 0,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869771 3,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869772 3,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869773 3,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869774 7,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869775 7,000000 -1,000000 -101,000000 0,000000 0,000000
68 1684869771 0,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869772 0,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869773 0,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869774 4,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869775 4,400000 -1,000000 -101,000000 0,000000 0,000000
65 1684869776 7,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869777 7,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869778 7,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869779 4,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869780 4,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869776 4,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869777 4,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869778 4,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869779 2,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869780 2,400000 -1,000000 -101,000000 0,000000 0,000000
65 1684869781 4,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869782 4,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869783 4,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869784 4,800000 -1,000000 -101,000000 0,000000 0,000000
65 1684869785 4,800000 -1,000000 -101,000000 0,000000 0,000000
68 1684869781 2,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869782 2,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869783 2,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869784 3,000000 -1,000000 -101,000000 0,000000 0,000000
68 1684869785 3,000000 -1,000000 -101,000000 0,000000 0,000000
65 1684869786 4,800000 -1,000000 -101,000000 0,000000 0,000000
65 1684869787 4,800000 -1,000000 -101,000000 0,000000 0,000000
65 1684869788 4,800000 -1,000000 -101,000000 0,000000 0,000000
65 1684869789 2,200000 -1,000000 -101,000000 0,000000 0,000000
65 1684869790 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869786 3,000000 -1,000000 -101,000000 0,000000 0,000000
68 1684869787 3,000000 -1,000000 -101,000000 0,000000 0,000000
68 1684869788 3,000000 -1,000000 -101,000000 0,000000 0,000000
68 1684869789 2,800000 -1,000000 -101,000000 0,000000 0,000000
68 1684869790 2,800000 -1,000000 -101,000000 0,000000 0,000000
65 1684869791 2,200000 -1,000000 -101,000000 0,000000 0,000000
65 1684869792 2,200000 -1,000000 -101,000000 0,000000 0,000000
65 1684869793 2,200000 -1,000000 -101,000000 0,000000 0,000000
65 1684869794 1,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869795 1,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869791 2,800000 -1,000000 -101,000000 0,000000 0,000000
68 1684869792 2,800000 -1,000000 -101,000000 0,000000 0,000000
68 1684869793 2,800000 -1,000000 -101,000000 0,000000 0,000000
68 1684869794 1,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869795 1,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869796 1,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869797 1,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869798 1,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869799 2,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869800 2,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869796 1,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869797 1,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869798 1,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869799 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869800 2,200000 -1,000000 -101,000000 0,000000 0,000000
65 1684869801 2,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869802 2,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869803 2,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869804 2,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869805 2,600000 -1,000000 -101,000000 0,000000 0,000000
68 1684869801 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869802 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869803 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869804 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869805 2,200000 -1,000000 -101,000000 0,000000 0,000000
65 1684869806 2,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869807 2,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869808 2,600000 -1,000000 -101,000000 0,000000 0,000000
65 1684869809 4,400000 -1,000000 -101,000000 0,000000 0,000000
65 1684869810 4,400000 -1,000000 -101,000000 0,000000 0,000000
68 1684869806 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869807 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869808 2,200000 -1,000000 -101,000000 0,000000 0,000000
68 1684869809 5,200000 -1,000000 -101,000000 0,000000 0,000000
