72 1684869765 0,000000 0,000000 -101,000000 0,000000 0,000000
72 1684869766 0,000000 0,000000 -101,000000 0,000000 0,000000
72 1684869767 0,000000 0,000000 -101,000000 0,000000 0,000000
72 1684869768 0,000000 0,000000 -101,000000 0,000000 0,000000
72 1684869769 4,000000 0,600000 2,400000 2,400000 -20,200000
72 1684869770 4,000000 0,600000 4,800000 4,800000 -20,200000
72 1684869771 4,000000 0,600000 7,200000 7,200000 -20,200000
72 1684869772 4,000000 0,600000 9,600000 9,600000 -20,200000
72 1684869773 4,000000 0,600000 12,000000 12,000000 -20,200000
72 1684869774 1,181818 2,200000 14,600000 14,600000 -20,200000
72 1684869775 1,181818 2,200000 17,200000 17,200000 -20,200000
72 1684869776 1,181818 2,200000 19,800000 19,800000 -20,200000
72 1684869777 1,181818 2,200000 22,400000 22,400000 -20,200000
72 1684869778 1,181818 2,200000 25,000000 25,000000 -20,200000
72 1684869779 0,647059 3,400000 27,200000 27,200000 -20,200000
72 1684869780 0,647059 3,400000 29,400000 29,400000 -20,200000
72 1684869781 0,647059 3,400000 31,600000 31,600000 -20,200000
72 1684869782 0,647059 3,400000 33,800000 33,800000 -20,200000
72 1684869783 0,647059 3,400000 36,000000 36,000000 -20,200000
72 1684869784 0,391304 4,600000 37,800000 37,800000 -20,200000
72 1684869785 0,391304 4,600000 39,600000 39,600000 -20,200000
72 1684869786 0,391304 4,600000 41,400000 41,400000 -20,200000
72 1684869787 0,391304 4,600000 43,200000 43,200000 -20,200000
72 1684869788 0,391304 4,600000 45,000000 45,000000 -20,200000
72 1684869789 -0,115385 5,200000 44,400000 44,400000 -20,200000
72 1684869790 -0,115385 5,200000 43,800000 43,800000 -20,200000
72 1684869791 -0,115385 5,200000 43,200000 43,200000 -20,200000
72 1684869792 -0,115385 5,200000 42,600000 42,600000 -20,200000
72 1684869793 -0,115385 5,200000 42,000000 42,000000 -20,200000
72 1684869794 0,000000 5,800000 42,000000 42,000000 -20,200000
72 1684869795 0,000000 5,800000 42,000000 42,000000 -20,200000
72 1684869796 0,000000 5,800000 42,000000 42,000000 -20,200000
