1684552133	0	1684552133
1684552133	1	1684552135
1684552135	2	1684552137
1684552137	3	1684552139
1684552139	4	1684552141
1684552141	5	1684552143
1684552143	6	1684552145
1684552145	7	1684552147
1684552147	8	1684552149
1684552149	9	1684552151
1684552151	10	1684553471
1684553471	11	1684553473
1684553473	12	1684553475
1684553475	13	1684553477
1684553477	14	1684553479
1684553479	15	1684553481
1684553481	16	1684553483
1684553483	17	1684553485
1684553485	18	1684553487
1684553487	19	1684553489
1684553489	20	1684554810
1684554810	21	1684554812
1684554812	22	1684554814
1684554814	23	1684554816
1684554816	24	1684554818
1684554818	25	1684554820
1684554820	26	1684554822
1684554822	27	1684554824
1684554824	28	1684554826
1684554826	29	1684554828
1684554828	30	1684556148
1684556148	31	1684556150
1684556150	32	1684556152
1684556152	33	1684556154
1684556154	34	1684556156
1684556156	35	1684556158
1684556158	36	1684556160
1684556160	37	1684556162
1684556162	38	1684556164
1684556164	39	1684556166
1684556166	40	1684557486
1684557486	41	1684557488
1684557488	42	1684557490
1684557490	43	1684557492
1684557492	44	1684557494
1684557494	45	1684557496
1684557496	46	1684557498
1684557498	47	1684557500
1684557500	48	1684557502
1684557502	49	1684557505
1684557505	50	1684558825
1684558825	39	1684558827
1684558827	37	1684558829
1684558829	36	1684558832
1684558832	30	1684558834
1684558834	29	1684558835
1684558835	28	1684558837
1684558837	21	1684558839
1684558839	13	1684558842
1684558842	8	1684558844
1684558844	5	1684558845
1684558845	3	1684558847
1684558847	2	1684558852
