161 1684545622 0,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545623 0,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545624 0,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545625 0,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545626 0,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545627 2,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545628 2,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545629 2,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545630 2,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545631 2,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545632 5,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545633 5,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545634 5,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545635 5,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545636 5,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545637 3,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545638 3,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545639 3,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545640 3,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545641 3,000000 -1,000000 -101,000000 0,000000 0,000000
161 1684545642 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545643 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545644 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545645 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545646 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545647 4,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545648 4,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545649 4,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545650 4,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545651 4,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545652 5,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545653 5,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545654 5,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545655 5,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545656 5,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545657 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545658 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545659 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545660 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545661 4,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545662 6,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545663 6,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545664 6,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545665 6,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545666 6,600000 -1,000000 -101,000000 0,000000 0,000000
161 1684545667 8,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545668 8,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545669 8,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545670 8,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545671 8,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545672 6,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545673 6,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545674 6,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545675 6,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545676 6,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545677 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545678 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545679 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545680 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545681 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545682 4,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545683 4,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545684 4,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545685 4,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545686 4,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545687 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545688 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545689 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545690 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545691 7,200000 -1,000000 -101,000000 0,000000 0,000000
161 1684545692 3,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545693 3,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545694 3,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545695 3,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545696 3,800000 -1,000000 -101,000000 0,000000 0,000000
161 1684545697 7,400000 -1,000000 -101,000000 0,000000 0,000000
161 1684545698 7,400000 -1,000000 -101,000000 0,000000 0,000000
