offline_datapoint_11 1684865725 95897,000
offline_datapoint_5 1684865725 2890,000
offline_datapoint_26 1684865725 615002112,000
offline_datapoint_14 1684865725 496222208,000
offline_datapoint_3 1684865725 8146153472,000
offline_datapoint_9 1684865725 172474368,000
offline_datapoint_25 1684865725 11138,000
offline_datapoint_19 1684865723 92,341
offline_datapoint_8 1684865723 21762,697
offline_datapoint_21 1684865725 172474368,000
offline_datapoint_1 1684865723 17,668
offline_datapoint_20 1684865725 4070146048,000
offline_datapoint_7 1684865725 3605315584,000
offline_datapoint_6 1684865723 0,130
offline_datapoint_12 1684865723 8,649
offline_datapoint_24 1684865723 4,851
offline_datapoint_13 1684865723 23773,520
offline_datapoint_18 1684865725 0,000
offline_datapoint_0 1684865723 33935,312
offline_datapoint_16 1684865723 1382,774
offline_datapoint_28 1684865723 0,229
offline_datapoint_17 1684865723 20,335
offline_datapoint_10 1684865723 99,778
offline_datapoint_29 1684865723 0,000
offline_datapoint_22 1684865723 33640,918
offline_datapoint_4 1684865723 0,002
offline_datapoint_11 1684865728 95897,000
offline_datapoint_5 1684865728 2889,000
offline_datapoint_26 1684865728 615006208,000
offline_datapoint_14 1684865728 495898624,000
offline_datapoint_3 1684865728 8127598592,000
offline_datapoint_9 1684865728 172789760,000
offline_datapoint_25 1684865728 11152,000
offline_datapoint_19 1684865726 0,333
offline_datapoint_8 1684865726 2521,500
offline_datapoint_21 1684865728 172789760,000
offline_datapoint_1 1684865726 0,333
offline_datapoint_20 1684865728 4060475392,000
offline_datapoint_7 1684865728 3610796032,000
offline_datapoint_6 1684865726 0,065
offline_datapoint_12 1684865726 0,766
offline_datapoint_24 1684865726 0,749
offline_datapoint_13 1684865726 7131,022
offline_datapoint_18 1684865728 0,000
offline_datapoint_0 1684865726 11046,316
offline_datapoint_16 1684865726 318,439
offline_datapoint_28 1684865726 0,082
offline_datapoint_17 1684865726 0,667
offline_datapoint_10 1684865726 99,899
offline_datapoint_29 1684865726 0,000
offline_datapoint_22 1684865726 4096,000
offline_datapoint_4 1684865726 0,001
offline_datapoint_11 1684865731 95897,000
offline_datapoint_5 1684865731 2876,000
offline_datapoint_26 1684865731 615149568,000
offline_datapoint_14 1684865731 496267264,000
offline_datapoint_3 1684865731 8111927296,000
offline_datapoint_9 1684865731 173256704,000
offline_datapoint_25 1684865731 11173,000
offline_datapoint_19 1684865729 3,000
offline_datapoint_8 1684865729 12448,436
offline_datapoint_21 1684865731 173256704,000
offline_datapoint_1 1684865729 0,667
offline_datapoint_20 1684865731 4043849728,000
offline_datapoint_7 1684865731 3544133632,000
offline_datapoint_6 1684865729 0,000
offline_datapoint_12 1684865729 2,012
offline_datapoint_24 1684865729 1,009
offline_datapoint_13 1684865729 4576,915
offline_datapoint_18 1684865731 0,000
offline_datapoint_0 1684865729 6600,211
offline_datapoint_16 1684865729 565,656
offline_datapoint_28 1684865729 0,181
offline_datapoint_17 1684865729 4,333
offline_datapoint_10 1684865729 99,804
offline_datapoint_29 1684865729 0,000
offline_datapoint_22 1684865729 64590,769
offline_datapoint_4 1684865729 0,002
offline_datapoint_11 1684865734 95897,000
offline_datapoint_5 1684865734 2881,000
offline_datapoint_26 1684865734 615202816,000
offline_datapoint_14 1684865734 496123904,000
offline_datapoint_3 1684865734 8130658304,000
offline_datapoint_9 1684865734 173301760,000
offline_datapoint_25 1684865734 11163,000
offline_datapoint_19 1684865732 11,336
offline_datapoint_8 1684865732 17264,180
offline_datapoint_21 1684865734 173301760,000
offline_datapoint_1 1684865732 2,334
offline_datapoint_20 1684865734 4053229568,000
offline_datapoint_7 1684865734 3557642240,000
offline_datapoint_6 1684865732 0,065
offline_datapoint_12 1684865732 2,850
offline_datapoint_24 1684865732 2,149
offline_datapoint_13 1684865732 11302,621
offline_datapoint_18 1684865734 0,000
offline_datapoint_0 1684865732 17244,174
offline_datapoint_16 1684865732 963,585
offline_datapoint_28 1684865732 0,273
offline_datapoint_17 1684865732 5,335
offline_datapoint_10 1684865732 99,689
offline_datapoint_29 1684865732 0,000
offline_datapoint_22 1684865732 11520,000
offline_datapoint_4 1684865732 0,003
offline_datapoint_11 1684865737 95897,000
offline_datapoint_5 1684865737 2879,000
offline_datapoint_26 1684865737 615202816,000
offline_datapoint_14 1684865737 496246784,000
offline_datapoint_3 1684865737 8122171392,000
offline_datapoint_9 1684865737 167739392,000
offline_datapoint_25 1684865737 11184,000
offline_datapoint_19 1684865735 2,321
offline_datapoint_8 1684865735 1169,687
offline_datapoint_21 1684865737 167739392,000
offline_datapoint_1 1684865735 0,332
offline_datapoint_20 1684865737 4053352448,000
offline_datapoint_7 1684865737 3535212544,000
offline_datapoint_6 1684865735 0,000
offline_datapoint_12 1684865735 1,030
offline_datapoint_24 1684865735 0,389
offline_datapoint_13 1684865735 2411,319
offline_datapoint_18 1684865737 0,000
offline_datapoint_0 1684865735 3465,297
offline_datapoint_16 1684865735 242,690
offline_datapoint_28 1684865735 0,454
offline_datapoint_17 1684865735 30,502
offline_datapoint_10 1684865735 99,574
offline_datapoint_29 1684865735 4,310
offline_datapoint_22 1684865735 14425,043
offline_datapoint_4 1684865735 0,005
offline_datapoint_11 1684865740 95897,000
offline_datapoint_5 1684865740 2879,000
offline_datapoint_26 1684865740 614305792,000
offline_datapoint_14 1684865740 496336896,000
offline_datapoint_3 1684865740 8136888320,000
offline_datapoint_9 1684865740 167886848,000
offline_datapoint_25 1684865740 11168,000
offline_datapoint_19 1684865738 7,295
offline_datapoint_8 1684865738 16841,773
offline_datapoint_21 1684865740 167886848,000
offline_datapoint_1 1684865738 1,658
offline_datapoint_20 1684865740 4059541504,000
offline_datapoint_7 1684865740 3548729344,000
offline_datapoint_6 1684865738 0,000
offline_datapoint_12 1684865738 2,954
offline_datapoint_24 1684865738 1,781
offline_datapoint_13 1684865738 11680,477
offline_datapoint_18 1684865740 0,000
offline_datapoint_0 1684865738 18370,763
offline_datapoint_16 1684865738 994,457
offline_datapoint_28 1684865738 0,366
offline_datapoint_17 1684865738 37,139
offline_datapoint_10 1684865738 99,646
offline_datapoint_29 1684865738 4,642
offline_datapoint_22 1684865738 10020,571
offline_datapoint_4 1684865738 0,004
offline_datapoint_11 1684865743 95897,000
offline_datapoint_5 1684865743 2871,000
offline_datapoint_26 1684865743 614313984,000
offline_datapoint_14 1684865743 496316416,000
offline_datapoint_3 1684865743 8129867776,000
offline_datapoint_9 1684865743 167833600,000
offline_datapoint_25 1684865743 11176,000
offline_datapoint_19 1684865741 5,669
offline_datapoint_8 1684865741 1615,602
offline_datapoint_21 1684865743 167833600,000
offline_datapoint_1 1684865741 1,000
offline_datapoint_20 1684865743 4059729920,000
offline_datapoint_7 1684865743 3554668544,000
offline_datapoint_6 1684865741 0,000
offline_datapoint_12 1684865741 0,831
offline_datapoint_24 1684865741 0,326
offline_datapoint_13 1684865741 1593,261
offline_datapoint_18 1684865743 0,000
offline_datapoint_0 1684865741 2187,816
offline_datapoint_16 1684865741 284,773
offline_datapoint_28 1684865741 0,160
offline_datapoint_17 1684865741 5,002
offline_datapoint_10 1684865741 99,819
offline_datapoint_29 1684865741 2,001
offline_datapoint_22 1684865741 40686,933
offline_datapoint_4 1684865741 0,002
offline_datapoint_11 1684865746 95897,000
offline_datapoint_5 1684865746 2878,000
offline_datapoint_26 1684865746 614309888,000
offline_datapoint_14 1684865746 496353280,000
offline_datapoint_3 1684865746 8138469376,000
offline_datapoint_9 1684865746 168067072,000
offline_datapoint_25 1684865746 11168,000
offline_datapoint_19 1684865744 2,999
offline_datapoint_8 1684865744 17180,795
offline_datapoint_21 1684865746 168067072,000
offline_datapoint_1 1684865744 0,667
offline_datapoint_20 1684865746 4069367808,000
offline_datapoint_7 1684865746 3564924928,000
offline_datapoint_6 1684865744 0,033
offline_datapoint_12 1684865744 3,119
offline_datapoint_24 1684865744 1,758
offline_datapoint_13 1684865744 11317,108
offline_datapoint_18 1684865746 0,000
offline_datapoint_0 1684865744 18344,933
offline_datapoint_16 1684865744 813,531
offline_datapoint_28 1684865744 0,317
offline_datapoint_17 1684865744 24,329
offline_datapoint_10 1684865744 99,662
offline_datapoint_29 1684865744 2,666
offline_datapoint_22 1684865744 12288,000
offline_datapoint_4 1684865744 0,003
offline_datapoint_11 1684865749 95897,000
offline_datapoint_5 1684865749 2887,000
offline_datapoint_26 1684865749 614961152,000
offline_datapoint_14 1684865749 496439296,000
offline_datapoint_3 1684865749 8150216704,000
offline_datapoint_9 1684865749 169619456,000
offline_datapoint_25 1684865749 11162,000
offline_datapoint_19 1684865747 3,334
offline_datapoint_8 1684865747 13465,211
offline_datapoint_21 1684865749 169619456,000
offline_datapoint_1 1684865747 1,000
offline_datapoint_20 1684865749 4079009792,000
offline_datapoint_7 1684865749 3580944384,000
offline_datapoint_6 1684865747 0,065
offline_datapoint_12 1684865747 2,562
offline_datapoint_24 1684865747 1,791
offline_datapoint_13 1684865747 10120,244
offline_datapoint_18 1684865749 0,000
offline_datapoint_0 1684865747 15938,434
offline_datapoint_16 1684865747 943,752
offline_datapoint_28 1684865747 0,431
offline_datapoint_17 1684865747 31,336
offline_datapoint_10 1684865747 99,491
