1684884164	0	1684884164
1684884164	1	1684884166
1684884166	2	1684884168
1684884168	3	1684884170
1684884170	4	1684884172
1684884172	5	1684884174
1684884174	6	1684884176
1684884176	7	1684884178
1684884178	8	1684884180
1684884180	9	1684884182
1684884182	10	1684885502
1684885502	11	1684885504
1684885504	12	1684885506
1684885506	13	1684885508
1684885508	14	1684885510
1684885510	15	1684885512
1684885512	16	1684885514
1684885514	17	1684885516
1684885516	18	1684885519
1684885519	19	1684885521
1684885521	20	1684886841
1684886841	21	1684886843
1684886843	22	1684886845
1684886845	23	1684886847
1684886847	24	1684886849
1684886849	25	1684886851
1684886851	26	1684886853
1684886853	27	1684886855
1684886855	28	1684886857
1684886857	29	1684886859
1684886859	30	1684888179
1684888179	31	1684888181
1684888181	32	1684888183
1684888183	33	1684888185
1684888185	34	1684888187
1684888187	35	1684888189
1684888189	36	1684888191
1684888191	37	1684888193
1684888193	38	1684888195
1684888195	39	1684888197
1684888197	40	1684889517
1684889517	41	1684889520
1684889520	42	1684889522
1684889522	43	1684889524
1684889524	44	1684889526
1684889526	45	1684889528
1684889528	46	1684889530
1684889530	47	1684889532
1684889532	48	1684889534
1684889534	49	1684889536
1684889536	50	1684890856
1684890856	39	1684890857
1684890857	38	1684890861
1684890861	36	1684890862
1684890862	32	1684890866
1684890866	28	1684890868
1684890868	25	1684890871
1684890871	19	1684890872
1684890872	18	1684890873
1684890873	11	1684890874
1684890874	10	1684890875
1684890875	9	1684890876
1684890876	8	1684890877
1684890877	5	1684890878
1684890878	1	1684890880
