offline_datapoint_11 1684545623 94205,000
offline_datapoint_5 1684545623 3668,000
offline_datapoint_26 1684545623 784785408,000
offline_datapoint_14 1684545623 568008704,000
offline_datapoint_3 1684545623 10707664896,000
offline_datapoint_9 1684545623 238133248,000
offline_datapoint_25 1684545623 9987,000
offline_datapoint_19 1684545621 84,335
offline_datapoint_8 1684545621 12050,251
offline_datapoint_21 1684545623 238133248,000
offline_datapoint_1 1684545621 16,933
offline_datapoint_20 1684545623 6218043392,000
offline_datapoint_7 1684545623 4912492544,000
offline_datapoint_6 1684545621 0,162
offline_datapoint_12 1684545621 5,675
offline_datapoint_24 1684545621 2,724
offline_datapoint_13 1684545621 18169,507
offline_datapoint_18 1684545623 0,000
offline_datapoint_0 1684545621 25552,456
offline_datapoint_16 1684545621 625,207
offline_datapoint_28 1684545621 0,247
offline_datapoint_17 1684545621 15,273
offline_datapoint_10 1684545621 99,694
offline_datapoint_29 1684545621 0,000
offline_datapoint_22 1684545621 29206,261
offline_datapoint_4 1684545621 0,002
offline_datapoint_11 1684545626 94205,000
offline_datapoint_5 1684545626 3682,000
offline_datapoint_26 1684545626 784756736,000
offline_datapoint_14 1684545626 568492032,000
offline_datapoint_3 1684545626 10717728768,000
offline_datapoint_9 1684545626 235696128,000
offline_datapoint_25 1684545626 9987,000
offline_datapoint_19 1684545624 6,007
offline_datapoint_8 1684545624 7947,964
offline_datapoint_21 1684545626 235696128,000
offline_datapoint_1 1684545624 1,335
offline_datapoint_20 1684545626 6229680128,000
offline_datapoint_7 1684545626 4927434752,000
offline_datapoint_6 1684545624 0,130
offline_datapoint_12 1684545624 2,286
offline_datapoint_24 1684545624 1,467
offline_datapoint_13 1684545624 10934,791
offline_datapoint_18 1684545626 0,000
offline_datapoint_0 1684545624 16495,963
offline_datapoint_16 1684545624 857,336
offline_datapoint_28 1684545624 0,253
offline_datapoint_17 1684545624 22,359
offline_datapoint_10 1684545624 99,715
offline_datapoint_29 1684545624 0,000
offline_datapoint_22 1684545624 20357,731
offline_datapoint_4 1684545624 0,003
offline_datapoint_11 1684545629 94205,000
offline_datapoint_5 1684545629 3704,000
offline_datapoint_26 1684545629 784756736,000
