offline_datapoint_11 1684537735 94543,000
offline_datapoint_5 1684537735 3277,000
offline_datapoint_26 1684537735 768065536,000
offline_datapoint_14 1684537735 566079488,000
offline_datapoint_3 1684537735 10408009728,000
offline_datapoint_9 1684537735 235302912,000
offline_datapoint_25 1684537735 9997,000
offline_datapoint_19 1684537733 94,199
offline_datapoint_8 1684537733 23850,409
offline_datapoint_21 1684537735 235302912,000
offline_datapoint_1 1684537733 19,040
offline_datapoint_20 1684537735 5925879808,000
offline_datapoint_7 1684537735 4822712320,000
offline_datapoint_6 1684537733 0,065
offline_datapoint_12 1684537733 12,167
offline_datapoint_24 1684537733 7,635
offline_datapoint_13 1684537733 38080,486
offline_datapoint_18 1684537735 0,000
offline_datapoint_0 1684537733 54125,064
offline_datapoint_16 1684537733 1458,750
offline_datapoint_28 1684537733 0,578
offline_datapoint_17 1684537733 90,859
offline_datapoint_10 1684537733 99,397
offline_datapoint_29 1684537733 6,013
offline_datapoint_22 1684537733 16579,765
offline_datapoint_4 1684537733 0,006
offline_datapoint_11 1684537738 94543,000
offline_datapoint_5 1684537738 3299,000
offline_datapoint_26 1684537738 768204800,000
offline_datapoint_14 1684537738 566452224,000
offline_datapoint_3 1684537738 10433056768,000
offline_datapoint_9 1684537738 235368448,000
offline_datapoint_25 1684537738 9988,000
offline_datapoint_19 1684537736 4,320
offline_datapoint_8 1684537736 15871,375
offline_datapoint_21 1684537738 235368448,000
offline_datapoint_1 1684537736 1,994
offline_datapoint_20 1684537738 5949120512,000
offline_datapoint_7 1684537738 4852432896,000
offline_datapoint_6 1684537736 0,032
offline_datapoint_12 1684537736 4,716
offline_datapoint_24 1684537736 3,018
offline_datapoint_13 1684537736 20258,544
offline_datapoint_18 1684537738 0,000
offline_datapoint_0 1684537736 31314,037
offline_datapoint_16 1684537736 906,613
offline_datapoint_28 1684537736 0,541
offline_datapoint_17 1684537736 69,791
offline_datapoint_10 1684537736 99,386
offline_datapoint_29 1684537736 8,641
offline_datapoint_22 1684537736 9050,210
offline_datapoint_4 1684537736 0,005
offline_datapoint_11 1684537741 94543,000
offline_datapoint_5 1684537741 3315,000
offline_datapoint_26 1684537741 768356352,000
offline_datapoint_14 1684537741 566718464,000
offline_datapoint_3 1684537741 10447220736,000
offline_datapoint_9 1684537741 236101632,000
offline_datapoint_25 1684537741 9978,000
offline_datapoint_19 1684537739 25,734
offline_datapoint_8 1684537739 23857,287
offline_datapoint_21 1684537741 236101632,000
offline_datapoint_1 1684537739 5,013
offline_datapoint_20 1684537741 5961936896,000
offline_datapoint_7 1684537741 4870479872,000
offline_datapoint_6 1684537739 0,033
offline_datapoint_12 1684537739 6,232
offline_datapoint_24 1684537739 3,786
offline_datapoint_13 1684537739 22856,674
offline_datapoint_18 1684537741 0,000
offline_datapoint_0 1684537739 31379,593
offline_datapoint_16 1684537739 1230,880
offline_datapoint_28 1684537739 2,249
offline_datapoint_17 1684537739 363,616
offline_datapoint_10 1684537739 98,156
offline_datapoint_29 1684537739 7,687
offline_datapoint_22 1684537739 6396,235
offline_datapoint_4 1684537739 0,022
offline_datapoint_11 1684537744 94543,000
offline_datapoint_5 1684537744 3307,000
offline_datapoint_26 1684537744 768471040,000
offline_datapoint_14 1684537744 566923264,000
